K643 AKJ J94 KQ3|JT2 85 KT75 T875|AQ5 Q9632 Q832 A|987 T74 A6 J9642
AQ K6543 A72 QJ4|864 T97 J98 K982|T92 AQ8 KQ65 AT7|KJ753 J2 T43 653
K95 KJT3 K84 AQ4|AJT87  T72 J9765|Q3 A8652 AJ3 K83|642 Q974 Q965 T2
QJT6 AJ AK84 J73|73 KQ982 92 QT98|AK852 T7 T63 A52|94 6543 QJ75 K64
AK2 K92 7532 AQ7| AQJT74 J9 T9653|QJT 853 AQ86 K82|9876543 6 KT4 J4
J5 A963 AQ54 A76|9864 K84 J KQ542|AKQ3 J52 KT632 8|T72 QT7 987 JT93
AKQ9 QJ4 954 KT2|7532 AT8 AT72 73|J86 K32 KQJ83 Q4|T4 9765 6 AJ9865
J84 A97 KQ8 KQT7|95 KJ84 973 A865|AKQT7 Q62 AJ42 J|632 T53 T65 9432
KJ3 AJ752 98 AQ9|QT87 8 K653 KJT4|A952 KQ QT2 8753|64 T9643 AJ74 62
AJT KQJ3 JT6 KJ7|97 T652 972 A963|K632 A KQ84 T854|Q854 9874 A53 Q2
95 AK64 AQT6 A96|J74 T983 J42 T75|KQ82 J K9853 KJ2|AT63 Q752 7 Q843
QJ5 K5 AQ965 KJ2|AK T86 T2 Q97643|42 AQ743 J3 AT85|T98763 J92 K874 
KQ82 KQT AQ87 J9|765 954 J963 872|AT943 AJ62 K5 QT|J 873 T42 AK6543
KJ3 AQ842 76 AQ8|754 53 AJT9 JT64|AT2 KT9 KQ85 532|Q986 J76 432 K97
AJ52 96 K93 AK83|986 KT5 QT862 96|KQ AQJ742 A5 JT5|T743 83 J74 Q742
AK73 Q92 AK72 T6|J6 KT84 863 J854|T94 A653 J9 AQ93|Q852 J7 QT54 K72
AK7 97 AQT7 A987|Q652 T3 K985 QT2|43 AQ862 J2 KJ63|JT98 KJ54 643 54
KQJ87 KT6 A7 Q82|AT95 A84 K62 J63|43 Q9752 QJ8 AK4|62 J3 T9543 T975
982 K7 AQ7 AK742|J654 Q2 JT94 JT3|AT73 A864 K32 85|KQ JT953 865 Q96
A2 632 KQ3 AK543|KT6 94 AJ74 Q972|QJ74 AKJT87 2 J8|9853 Q5 T9865 T6
AKJ QJ5 AT52 T76|96542  QJ84 QJ84|Q83 AK632 7 A532|T7 T9874 K963 K9
K983 AQ54 Q5 AQ4|A2 JT732 K976 K8|QJT4 K98 AJ 9632|765 6 T8432 JT75
A87 AQ974 A94 Q5|K95 KT862 T72 82|QJ3 J J86 AKT763|T642 53 KQ53 J94
KQJ9 AQ2 KJ9 T83|7 T9876 QT53 752|A6542 K43 7 AKJ4|T83 J5 A8642 Q96
A954 AJ95 A9 Q74|QT8762 4 Q653 T6| Q8763 KT42 AK85|KJ3 KT2 J87 J932
AJ9 A53 Q74 AQ62|T75 98742 A82 J3|K62 KT6 KT53 KT5|Q843 QJ J96 9874
AQT9 QJ54 KQ5 KT|2 AK832 JT763 J5|K86 76 A9 AQ9876|J7543 T9 842 432
AKQ9 Q853 Q53 A3|82 A KT9874 K764|JT543 KJ42 A2 Q8|76 T976 J6 JT952
KQ64 AKJ5 Q85 76|J7532 QT8 4 9532|8 63 A963 AQJT84|AT9 9742 KJT72 K
T84 K3 AQT8 AKT9|73 T74 J65 J8654|K62 AQJ52 742 Q7|AQJ95 986 K93 32
84 AKQ97 J93 AQ8|9752 6 AT7542 94|AQT3 J43  KJT752|KJ6 T852 KQ86 63
A9752 AK 862 AJ2|8 QJ87 J753 T873|K643  AKQT9 KQ94|QJT T965432 4 65
AK74 A864 83 A94|9532 QJT9 K9 QJ8|T86 K5 AJ2 KT753|QJ 732 QT7654 62
Q952 A74 KQJT K6|AT63 532 4 A7432|K4 KQJT8 9876 Q5|J87 96 A532 JT98
QT7 AT93 K7 AQ53|J 7 QJ54 KJT9864|A8652 QJ82 A92 2|K943 K654 T863 7
KQJ3 K4 A96 KJ54|765 A63 K73 T973|A982 QJT9 542 AQ|T4 8752 QJT8 862
AKJ65 KJ9 AT2 J2|Q942 752 965 Q98|T83 AQT43 Q7 AK7|7 86 KJ843 T6543
QT72 A73 AKJ2 J4|KJ964  T93 KT986|A53 KQ986 Q764 A|8 JT542 85 Q7532
J7643 843 AK AK9|AK95 JT95 92 Q72|Q AKQ762 QT65 53|T82  J8743 JT864
985 AK983 A3 A53|QJ72 J62 Q8 T987|AKT63 T7 J976 KQ|4 Q54 KT542 J642
K92 AQ4 KQ96 K42|QT7 JT J754 QT98|A654 9876 A82 A3|J83 K532 T3 J765
76 AK3 KQ74 KQ52|T985 T84 J963 93|K4 J6 AT852 AT64|AQJ32 Q9752  J87
J95 A2 AQ7 A9875|A83 985 KT862 63|KQT62 KJT3 53 K4|74 Q764 J94 QJT2
AT954 AT AT3 A97|J832 9432 94 Q65|K6 KJ7 K8762 JT4|Q7 Q865 QJ5 K832
AT983 863 AKQ K4|52 J97 8754 Q962|QJ4 AQT5 6 AT853|K76 K42 JT932 J7
A62 AKJ94 Q3 K96|T8 8753 KT95 J82|K4 QT6 AJ84 A543|QJ9753 2 762 QT7
K2 JT3 AQT43 AJ7|Q9 85 K976 86432|743 AKQ4 85 QT95|AJT865 9762 J2 K
9654 KQ KQ4 KQ72|K8 875 T7653 A93|A AJT963 A982 J6|QJT732 42 J T854
A4 AK3 KQ732 974|KJ863 986 85 T82|952 T AT964 AKJ3|QT7 QJ7542 J Q65
AQ6 AT76 Q93 KJT|432 J9 K752 9764|K97 82 AJ8 AQ853|JT85 KQ543 T64 2
A5 AQT92 QJ2 Q73|9 87 T964 KT8542|KQJ864 64 K8 AJ9|T732 KJ53 A753 6
KQ2 82 AQ63 A854|753 T KJT984 QT2|JT96 AQ974 5 KJ7|A84 KJ653 72 963
A4 AT98 QJ98 A65|763 KJ5 K52 Q872|KT9 3 A743 KJT93|QJ852 Q7642 T6 4
AQ43 K6 AK82 952|762 J973 T65 KJ3|KJ9 Q2 QJ97 AQ74|T85 AT854 43 T86
K8 QT5 KQ93 AJ32|T5 9842 JT86 KQT|AQJ963 7 A 98754|742 AKJ63 7542 6
AQ64 T7 AQ52 K76|K873 543 9764 54|9 AKQ982 T8 QJT3|JT52 J6 KJ3 A982
AJ653 KJ7 K6 A92| Q94 QT9542 8764|942 AT3 AJ873 K5|KQT87 8652  QJT3
KQ865 KQ9 J82 AQ|J94 752 643 KJ94|A72 A3 AKQ9 8753|T3 JT864 T75 T62
K62 Q432 A93 AQ2|AQ975 98  KT9863|J84 AK76 K852 74|T3 JT5 QJT764 J5
A976 A93 KJ92 A9|KJ54 82 Q864 873|T8 K7 AT7 KJT542|Q32 QJT654 53 Q6
AQ73 K652 K7 A64|T4 J83 T985 KT95|86 AQT94 AJ63 82|KJ952 7 Q42 QJ73
AKT K4 A8542 Q86|987 J9732 96 732|6543 AQ8 KQ7 J94|QJ2 T65 JT3 AKT5
KJT53 T72 KJ4 AK|Q92 QJ43 A87 764|76 AK9865 Q9 Q52|A84  T6532 JT983
AQJ4 Q962 A9 K95|9763  T82 AJ6432|KT85 AJT873 K4 8|2 K54 QJ7653 QT7
AJ92 53 AK64 K73|Q654 8 J92 AQ984|K8 AK97 T875 JT2|T73 QJT642 Q3 65
Q876 KQ AKJ6 862|K43 954 8752 JT5|A952 T72 QT4 AQ9|JT AJ863 93 K743
KQ73 AQ43 KJ8 65|98 KT8 A643 KJ94|AJT64 72 52 AQ82|52 J965 QT97 T73
853 AQ3 J64 AKJ2|97 94 87532 Q976|A KT8652 AKQ9 43|KQJT642 J7 T T85
AQ63 A952 98 AQT|J875 Q6 AT75 K83|K KJT843 KQ432 9|T942 7 J6 J76542
93 AQ9 AT84 AQ63|T862 KJT85 J 742|AQJ74 2 KQ73 T95|K5 7643 9652 KJ8
KJ75 KJ43 K7 AJ3|Q432 985 63 K852|AT9 QT72 AJT4 QT|86 A6 Q9852 9764
A975 AKT5 KQ9 JT|K4 Q92 T5 K98765|QT J83 AJ643 A32|J8632 764 872 Q4
A94 A63 AKT6 Q62|QT862 984 932 T7|K KT2 QJ8 AK9843|J753 QJ75 754 J5
AK6 AQT86 AT7 97|Q42 J7542 Q43 Q5|T9 93 K982 AKJ82|J8753 K J65 T643
AQ8 A82 Q763 A98|JT4 63 K9 JT7653|K76 97 AJ84 KQ42|9532 KQJT54 T52 
AT9 KQ86 QT76 A6|KQJ74 T53 K9 T87|5 AJ4 A842 KJ954|8632 972 J53 Q32
QJT 972 AKQ2 K64|4 84 T8543 AQ532|A8632 AQJT63 J 9|K975 K5 976 JT87
QT72 AQ2 AKT QT6|6 T8765 9742 974|A543 4 Q53 AK832|KJ98 KJ93 J86 J5
Q97 AJ8 KQ94 KJT|J842 QT4 JT6 Q74|K63 7632 A5 A983|AT5 K95 8732 652
A84 Q98 KT864 AK|KT963 J753 53 75|J75 A2 AJ7 JT863|Q2 KT64 Q92 Q942
K942 72 AKQT A62|A5 T95 765 QT943|QJT63 AKJ63 8 KJ|87 Q84 J9432 875
KJ84 KJ8 KQJT J6|AT73 A97654 83 9|Q95 Q32 A96 KQT8|62 T 7542 A75432
AK3 KQT3 32 KT83|QJ5 J75 AQJ874 2|T987 A8 KT6 AQJ7|642 9642 95 9654
98 J75 AKQT AQ98|KT3 Q86 98432 T6|QJ42 AK32 5 KJ53|A765 T94 J76 742
QJ K54 AQT2 K983|763 A83 764 QT52|AKT985 T6 KJ8 J4|42 QJ972 953 A76
J765 KT AQT2 AQJ|K32 QJ9632 95 42|AT98 A85 K7 T863|Q4 74 J8643 K975
KT6 AJ7 AKT74 83|QJ875 542 52 KQJ|A9 T86 QJ963 AT9|432 KQ93 8 76542
K432 AQ8 AQ6 T63|Q987 KJT94 J5 42|AT6 76 KT93 KQJ7|J5 532 8742 A985
AQJ9 9765 QJ AQ9|864 43 K8752 T75|K73 KT8 AT6 J643|T52 AQJ2 943 K82
K2 J642 A63 AK75|T8753 85 8542 T2|AQJ KQT73 T9 J84|964 A9 KQJ7 Q963
Q4 QJ53 AJ83 AKT|AT9652 T82 T7 J8|K8 A74 KQ95 Q532|J73 K96 642 9764
QT74 AJ93 KQ K65|A863 K8 92 J9874|J2 Q AJT8763 AQT|K95 T76542 54 32
K85 K964 A6 AJ87|AJ73 T7 T973 KQ9|T94 AQ8 KQ8542 2|Q62 J532 J T6543
K3 AQ86 KQT K942|952 KT9 J973 753|AQT86 J52 A2 QJ6|J74 743 8654 AT8
K5 A65 AJ865 KJT|QJT T43 72 Q9854|A2 Q82 KQ93 A763|987643 KJ97 T4 2
KQ94 A82 A943 KT|T8762 753 KT5 Q8|J5 KQ9 J7 AJ9543|A3 JT64 Q862 762
AK95 Q52 KT86 A3|876 KJ8764 J9 KQ|J43 AT3 AQ 76542|QT2 9 75432 JT98
KJ2 A642 KJT AT5|875 753 AQ2 7432|AQ43 QT 9874 KJ9|T96 KJ98 653 Q86
Q32 A43 AKQ T974|J8 Q875 J7653 63|AT4 KT96 84 KJ82|K9765 J2 T92 AQ5
KQT2 AJ4 KQT3 94|J96 K652 J4 J732|A84 T7 765 AKQT6|753 Q983 A982 85
QJ KJ83 AQJ3 J52|K8543 T42 T7 AK7|AT96 Q97 K9 Q843|72 A65 86542 T96
KQ2 A63 KT63 KQT|7 9872 A9842 J54|A843 KQ54 Q 9763|JT965 JT J75 A82
KT6 AQT87 AJ8 Q3|A932 5 9654 A654|Q85 K964 K2 K972|J74 J32 QT73 JT8
AQT4 AT87 K6 A65|9865 963 T93 QT9|K7 KQJ54 AQ2 742|J32 2 J8754 KJ83
AT4 AJ3 A94 A943|QJ85 54 KJ65 K85|K7 K9872 QT8 QJ6|9632 QT6 732 T72
K6 AQT Q985 AQ93|54 K8762 J76 K75|Q92 J43 AKT32 J4|AJT873 95 4 T862
AQ8 Q72 Q53 AJ94|JT7643 93 64 K86|K AJ854 KT9 Q532|952 KT6 AJ872 T7
AKJT6 632 QJ KQT|Q97 954 8532 763|432 AT7 AKT64 J4|85 KQJ8 97 A9852
KQ84 AJ64 AJ8 T6|JT63 3 K9754 K53|A QT752 QT2 A874|9752 K98 63 QJ92
AKT3 542 QJ AQ74|62 JT3 K94 KJ962|8 AK96 AT732 T83|QJ9754 Q87 865 5
K86 Q73 AQT75 KQ|T954 K94 96 9876|AQ JT52 J432 AJ5|J732 A86 K8 T432
T98 AKQ4 AJ9 K75|5 JT652 KT6 T982|AQ72 73 Q8432 A6|KJ643 98 75 QJ43
A2 KQ4 A874 K954|QT7 T9753 T A632|K98 A62 QJ52 QJ7|J6543 J8 K963 T8
AJ76 96 AQ3 KQ94|Q842 754 K4 AT73|KT9 AKQ832 J75 6|53 JT T9862 J852
J9753 J73 AK AK8|K842 62 Q4 JT743|6 AKQ954 J765 Q5|AQT T8 T9832 962
AK8 K8752 J7 AQ9|QT76 QT3 843 JT7|J AJ64 Q96 K5432|95432 9 AKT52 86
A96 A6542 AT6 KT|K7 KT87 532 8753|Q3 93 KQJ984 QJ4|JT8542 QJ 7 A962
KT874 A7 AJ4 A94|952 KJ9 QT98 K53|A63 Q6 K7652 Q72|QJ T85432 3 JT86
A5 AQ6 T62 AJ832|KJ76 K QJ98743 T|Q8 T982 AK Q9754|T9432 J7543 5 K6
AQJ4 T72 KQ9 A74|85 65 JT875 KJ95|K96 AKQJ98 2 T32|T732 43 A643 Q86
J9 AK87 J865 AQT|8 T965 KQT9 7653|AKQ754 J43 32 K9|T632 Q2 A74 J842
AQ43 Q85 AT4 KQ6|K6 AKJ72 J987 72|J T43 KQ AJT9854|T98752 96 6532 3
AQT KJ76 QJ2 KJ8|J92 QT432 A 7632|K3 A98 875 AQT94|87654 5 KT9643 5
KQ5 J62 AQ97 AJT|9732 A98 T3 Q542|AJ6 K753 K84 K76|T84 QT4 J652 983
Q9 QJ93 AQ54 KQ8|A87 6 J98 T97653|KJ53 T4 KT76 A42|T642 AK8752 32 J
A96 K32 AKQ73 72|53 J97 JT95 KQT9|KT82 AQ86 62 AJ6|QJ74 T54 84 8543
A63 QT5 QJ4 KQJ7|T75 93 T762 A532|KQJ82 A8 AK9 T86|94 KJ7642 853 94
AKQ4 T62 QJ85 K6|T83 QJ943 94 Q54|J96 AK75 AKT2 72|752 8 763 AJT983
A87 A83 K87 AJ84|53 T64 A532 Q932|KJ9 J952 QJ94 K5|QT642 KQ7 T6 T76
T85 AKT AK62 K63|Q943 74 T43 9872|AK6 Q865 J9 JT54|J72 J932 Q875 AQ
AJ652 AK2 93 A42|843 J74 Q62 Q983|QT97 86 AKT8 KT6|K QT953 J754 J75
QT75 KQ8 AQ98 Q6|K9863 J932 3 T94|A42 A65 J765 A32|J T74 KT42 KJ875
JT5 AKT5 A63 KJ7|A32 8432 J954 AQ|KQ87 Q96 KQT T93|964 J7 872 86542
AK75 T63 AKJ2 65|T96 AQ87 T97 972|J3 KJ52 Q65 AT84|Q842 94 843 KQJ3
AKQT5 Q62 J9 A87|4 J95 Q732 KT653|J982 AKT4 AT86 9|763 873 K54 QJ42
A753 KQ8 K65 K64|QJ98 T QJ4 QJ753|KT4 A7652 T2 A92|62 J943 A9873 T8
Q86 KQT9 Q42 AK5|T754 J652 K86 T3|KJ A8 AJT753 J86|A932 743 9 Q9742
K5 A54 AJ85 KQ64|AT62 T32 T764 83|J74 KQ876 KQ2 A7|Q983 J9 93 JT952
AKT72 AT7 A74 62|J9643 82 Q98 T54|Q5 QJ53 KJT AK83|8 K964 6532 QJ97
Q5 K83 AKQ6 JT63|T73 JT4 T743 952|AKJ984 AQ97 J2 8|62 652 985 AKQ74
Q854 K2 AK53 A84|K63 A5 T987 KJ93|AJT7 Q9 QJ642 Q6|92 JT87643  T752
A72 AQ9 AT52 QJT|KQT43 J76 963 62|96 K53 K8 AK8754|J85 T842 QJ74 93
AT54 K3 K62 AJT8|QJ9863 9764 7 53|K72 T85 AJ98 KQ6| AQJ2 QT543 9742
Q6432 AJ A93 AQ7| K65432 74 T8542|AKT875 Q9 KJ865 |J9 T87 QT2 KJ963
Q86 A5 Q73 AKT63|T9753 963 K5 J92|AK2 KQJ74 T92 54|J4 T82 AJ864 Q87
AQ5 K93 A8752 KT|32 J874 KQ3 8642|K876 A5 J964 AQJ|JT94 QT62 T 9753
A2 AJ85 Q653 KJ4|KQ864 943 2 Q853|J5 KQT62 KT8 AT9|T973 7 AJ974 762
KJ4 K7 KT73 AQ74|T765 QJ43  K8652|AQ932 AT9 Q65 T3|8 8652 AJ9842 J9
AQ3 QJ3 T5 AKJ85|J A986 AK9764 97|KT954 KT7 QJ2 Q3|8762 542 83 T642
AT J98 K52 AK954|KJ9643 652 T84 Q|72 A73 AQJ73 862|Q85 KQT4 96 JT73
KQ987 95 AKJ Q65|T5432 A6 QT7 843|J KT8 5432 AKJT7|A6 QJ7432 986 92
J532 AK AQJ5 982|QT96 752 94 KQ54|A87 QT9 T6 AJ763|K4 J8643 K8732 T
94 A987 KQ76 AQ3|QJT KT62 54 JT96|AK765 Q5 AJT932 |832 J43 8 K87542
84 K84 AJ62 AK98|J65 J7652 K9 T75|KQ97 AT QT8 Q642|AT32 Q93 7543 J3
QJ JT52 AKT AT32|K Q876 6532 7654|AT875 AK94 97 J8|96432 3 QJ84 KQ9
KT87 K7 AQ97 K82|Q64 AQT96 T6 A63|AJ95 854 KJ Q975|32 J32 85432 JT4
75 AQT5 9743 AKQ|AQJ93 4 T5 T6543|KT2 K873 AK86 97|864 J962 QJ2 J82
QJ84 K97 A2 AJ84|32 AQ8653 JT5 Q2|AK75 J 643 K9763|T96 T42 KQ987 T5
T63 AQ75 AK73 Q5|AJ85 9 T965 T932|K92 KJT8 Q82 AJ8|Q74 6432 J4 K764
J762 A832 J8 AKQ|943 KQ97 AT95 98|AKT8 JT4 Q72 J62|Q5 65 K643 T7543
A75 AT952 A87 K8|K92 Q83 Q3 QJT94|QJ63 KJ6 KJ9 765|T84 74 T6542 A32
AK7 Q95 Q74 AQ93|JT982  J62 JT874| AKJT32 T85 K652|Q6543 8764 AK93 
983 AT5 KQT92 AK|652 KJ94 8743 T3|AQJ Q872 J5 J974|KT74 63 A6 Q8652
KQ65 K83 A753 QJ|J98 962  AKT9852|AT3 AJT4 QT9 763|742 Q75 KJ8642 4
KQ987 A82 764 AQ|AT42 7 532 K7643|J65 Q643 AKJ8 92|3 KJT95 QT9 JT85
AK94 K93 K952 A7|Q76 T652 84 Q932|82 AQ84 AJT7 T65|JT53 J7 Q63 KJ84
K742 A32 KJ6 AT7|9865 Q5 A75 K963|AQJT K97 Q32 QJ5|3 JT864 T984 842
AT3 AQ63 AT7 K98|K7 J754 QJ963 T5|Q92 KT92 K4 A642|J8654 8 852 QJ73
AQ6 K98 KQJ4 843|3 JT753 AT953 95|K975 A62 876 KQJ|JT842 Q4 2 AT762
Q3 Q65 A73 AK976|T9852 87 J85 QT5|AK64 92 KQ962 84|J7 AKJT43 T4 J32
AQ65 AJ42 QJ JT5|82 Q75 T8532 KQ2|K743 T63 A964 A4|JT9 K98 K7 98763
J53 KQ42 AK9 Q42|Q86 T3 J8653 T98|A974 AJ986  AKJ3|KT2 75 QT742 765
QJ53 AK9 KQ2 Q86|K7 753 J94 J9754|A QJT864 AT7 AT3|T98642 2 8653 K2
K54 KJ7 AK7 KT74|632 T964 8543 J5|AJT A852 92 A982|Q987 Q3 QJT6 Q63
KJ6 AT9 KJ92 K42|Q8 KJ7654 A6 J93|A75432 Q 8 AQT87|T9 832 QT7543 65
QJ7 A2 A642 AQ62|953 T863 QT5 943|K6 KQ97 J93 KJT7|AT842 J54 K87 85
Q42 AQ K982 AJ96|J865 7 QJT4 8432|A7 KJ9643 A3 QT7|KT93 T852 765 K5
T98 A4 KQ43 AQ86|J74 JT986 AT986 |AQ3 K3 72 KT9542|K652 Q752 J5 J73
AK98 K732 JT A53|762 AQ 9862 9864|Q53 T4 AKQ3 QJT7|JT4 J9865 754 K2
A5 KQ8 AK73 JT52|Q9643 JT2 QT9 A4|KT72 A9654 6 KQ7|J8 73 J8542 9863
A76 763 AK4 AT84|QT42 42 QJ3 J975|95 AKQ T8765 KQ2|KJ83 JT985 92 63
AJT97 A3 K74 A74|62 KJ7654 5 T832|Q83 Q AJ9862 Q65|K54 T982 QT3 KJ9
A74 AJ6 Q3 KQJ85|T92 Q8732 42 A76|6 K5 AKJT985 T93|KQJ853 T94 76 42
A5 AK64 T84 AQ83|3 Q973 Q3 KT7642|KT98762 JT2 AK9 |QJ4 85 J7652 J95
KJ84 Q7 AJ6 AJ96| AJ86432 87532 7|QT97653 K KT KQT|A2 T95 Q94 85432
T5 AKQ3 KT84 A97|KQ87 T54 63 QJT5|A93 986 AQJ7 862|J642 J72 952 K43
K842 Q6 K43 AQJ7|AJ97 KT982 76 52|QT53 A743 Q9 K94|6 J5 AJT852 T863
A2 AK642 KT2 KT5|KJ9 87 743 Q8742|T73 QJ53 A95 AJ9|Q8654 T9 QJ86 63
J2 AJ7 QJ73 AQT4|Q843 QT54 95 632|AKT9765 K92 2 K7| 863 AKT864 J985
AJ4 A98 AT6 A653|KQ9653 QT4 542 T|82 K7653 QJ3 KQ9|T7 J2 K987 J8742
Q86 QJT5 A5 KQJ4|93 AK8432 JT63 T|A2 6 KQ9842 A762|KJT754 97 7 9853
J5 QJ3 AK74 AJ86|K73 9765 985 KT5|AQ42 AKT84 QT32 |T986 2 J6 Q97432
Q3 862 AJT3 AKJ9|K64 43 K974 T632|AJT2 AKQJ97 2 84|9875 T5 Q865 Q75
AT6 72 AKJT4 KQ6|KJ73 KQ6 7 J9542|Q52 A54 Q82 AT87|984 JT983 9653 3
KJ6 T98 A873 AKJ|A7 KJ6532 Q 8653|Q2 AQ7 KJ92 T972|T98543 4 T654 Q4
AJ985 A76 AT4 QT| QJT54 J976 9863|KQT643 98 K8 A42|72 K32 Q532 KJ75
AQ6 J8 KJ98 KQT5|82 AT654 75 A983|KJ9 Q973 AT643 J|T7543 K2 Q2 7642
A743 K863 AKJ 86|K A754 9854 QJ54|QJ985 QT9  AKT72|T62 J2 QT7632 93
AQ932 AT K43 Q94|T5 754 852 KT762|K86 QJ32 AQT9 A3|J74 K986 J76 J85
AQ72 KT Q97 AJ87|K6 AJ96532 A 954|J53 Q874 K83 KQ6|T984  JT6542 T32
A986 AQJ T82 KJ5|J5 T862 J543 T74|KT 975 AKQ76 Q82|Q7432 K43 9 A963
QJ5 AK984 Q4 AJ6|T843 75 A83 QT72|AK976 QT KJT6 K4|2 J632 9752 9853
Q852 AQT8 A87 QJ|KJ74 94 KJ5 K865|A96 KJ753 Q9 AT7|T3 62 T6432 9432
A53 K8753 QJT AJ|J7 AJT2 64 KT876|KQT962  AK9832 2|84 Q964 75 Q9543
Q954 AJ3 A53 KJ6|J62 972 KQT2 Q95|AK73 KT8 64 AT83|T8 Q654 J987 742
KQ6 Q76 AT AQT54|T542 AJ943 85 72|AJ8 85 KJ972 K63|973 KT2 Q643 J98
K932 J64 AK5 KQ9|Q84 Q752 873 765|J76 K93 QJT9 AT3|AT5 AT8 642 J842
A82 K9543 AQ6 K2|J5 8 985 T987653|KQT97 JT6 K4 AJ4|643 AQ72 JT732 Q
AT9 K53 AJ QJ853|J854 Q974 Q3 AT7|KQ6 AT2 K9654 K9|732 J86 T872 642
T32 AKQ8 A843 Q4|Q854 62 QJT7 832|AK7 T4 K62 KJ976|J96 J9753 95 AT5
A986 KQ7 KJ5 A43| JT862 A2 KJT862|KQJT732 A4 Q8 95|54 953 T97643 Q7
K32 QJ42 AK5 KJ7|Q94 K8 QT76 A532|AJT75 A76 J43 QT|86 T953 982 9864
A98 87 AK864 KJ9|K62 A65 5 QT8543|QJ74 KQJT3 J2 A6|T53 942 QT973 72
KJ AQT K654 K764|QT7654 J73 J7 QJ|982 K65 AT AT952|A3 9842 Q9832 83
52 AKJ94 AT3 AJ5|J94 T75 KQ764 76|AKQ87 Q3  QT9832|T63 862 J9852 K4
KQ JT8 KJ74 AK63|J9742 74 T532 J5|AT865 AK9 A6 QT4|3 Q6532 Q98 9872
K53 KQJ87 T5 AKT|J97 54 A8764 Q64|AQ8 3 KJ932 J853|T642 AT962 Q 972
Q5 AQ7 A9843 K97|KJT97 53 JT T832|A8643 2 KQ75 AQJ|2 KJT9864 62 654
KQ87 AT64 K96 A8|AJT62 95 J754 96|4 J8 AQ3 KQJT542|953 KQ732 T82 73
KT2 KT AT94 AJ42|96 J9 8753 98753|Q53 A87542 KQ62 |AJ874 Q63 J KQT6
AJ76 A75 A962 K4|K32 QT982 4 T532|Q KJ3 T875 AQ876|T9854 64 KQJ3 J9
KJ65 K984 AQ5 Q4|T4 QT73 JT9764 A|2 A52 K8 KJT7632|AQ9873 J6 32 985
Q3 AKQ6 K95 J632|J8762 43 AJ83 K4|AKT 2 QT764 AQ75|954 JT9875 2 T98
KQ7 K4 AKQ52 T52|T8 J985 J987 A74|A9 AT76 T643 KQ3|J65432 Q32  J986
Q95 KQ863 A2 KJ5|T86 T74 54 Q9843|AJ73 92 QT76 A62|K42 AJ5 KJ983 T7
AQJ76 T6 A84 A73|9842 543 QT9 J98|T3 AKQ KJ763 KT4|K5 J9872 52 Q652
AQ4 92 AKQ85 964|KT3 T84 T9764 AT|952 KQJ6  KQ7532|J876 A753 J32 J8
Q8 AK9 K842 KJ53|9542 T432 3 AQ86|AK763 Q87 Q76 T7|JT J65 AJT95 942
Q3 A942 AJT KJT5|K986 53 Q862 743|AT52 K6 753 AQ96|J74 QJT87 K94 82
AK3 KT5 Q2 AT763|652 862 AT853 J2|T9 AQJ94 K74 K85|QJ874 73 J96 Q94
QJ63 A95 Q5 AQT2|T987 J4 KJ43 KJ8|AK54 KQT3 T762 9|2 8762 A98 76543
KJ A9742 AJ7 QJ4|A764 83 854 K652|Q9 KQT5 KQ AT987|T8532 J6 T9632 3
T96 AQJ5 A4 KJ74|J87 K7 T952 QT32|KQ32 83 K87 A865|A54 T9642 QJ63 9
T2 AK97 AQ7 QT84|J743 42 J985 J76|Q8 QJT85 KT6 A53|AK965 63 432 K92
K92 AJ5 AQ972 KT|QJ863 K92 J4 J82|A54 Q86 K3 AQ954|T7 T743 T865 763
AKT6 T2 AK75 Q83|54 KQ853 32 KJ96|87 AJ9764 Q96 A7|QJ932  JT84 T542
A93 AKJ64 QT2 J2|Q652 Q7 94 A8765|K 85 AKJ865 KQ94|JT874 T932 73 T3
J98 AJ754 AQ9 QJ|AQ6 K986 K8754 6|K5 Q32 J632 AKT9|T7432 T T 875432
KQJ2 KQ74 J3 A42|A9843 962 954 T9| AJT AKQ862 Q865|T765 853 T7 KJ73
AQ5 Q86 KQ3 Q432|J43 K92 AJT54 J7|KT872 A53 87 A85|96 JT74 962 KT96
Q64 A8 K42 KQJ43|53 QT94 JT3 A962|KJ9 KJ7652 AQ T8|AT872 3 98765 75
Q8 AT2 KJT AQ853|K32 J853 9532 J4|A75 KQ9 A84 KT76|JT964 764 Q76 92
AK4 Q643 AK75 73|QJ973 JT5 83 Q82|52 AK8 QJT62 AT5|T86 972 94 KJ964
K7 AKT54 976 AJT|A2 QJ98 853 K986|Q86543  AKQ2 753|JT9 7632 JT4 Q42
AK5 KJ52 65 KQ42|T876 Q4 T73 J986|4 AT97 KJ4 AT753|QJ932 863 AQ982 
KJ5 AK64 KJ5 J64|T 752 A763 KT853|AQ2 Q93 QT84 A92|987643 JT8 92 Q7
AQ972 QT AJ8 Q72|JT KJ Q62 T86543|K43 97642 K73 AJ|865 A853 T954 K9
AKQ97 KQ7 J74 T8|T4 J84 932 J6432|852 AT532 Q6 AK9|J63 96 AKT85 Q75
KJ92 AKQ5 KT7 73|T876 J7 Q864 Q98|A 9842 A9 AKJ654|Q543 T63 J532 T2
65 AK2 T64 AKJ64|2 T8763 AKQ95 75|AQJ97 QJ54 J2 Q9|KT843 9 873 T832
